,Timestamp,Are you openly identified at work as a person with a mental health issue?,Are you self-employed?,Did you ever discuss your mental health with a previous coworker(s)?,Did you ever discuss your mental health with your previous employer?,Did you ever have a previous coworker discuss their or another coworker's mental health with you?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health disorders and how to seek help?,Do you currently have a mental health disorder?,Do you have a family history of mental illness?,Do you have previous employers?,Do you know the options for mental health care available under your employer-provided health coverage?,Does your employer offer resources to learn more about mental health disorders and options for seeking help?,Does your employer provide mental health benefits as part of healthcare coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Have you ever discussed your mental health with coworkers?,Have you ever discussed your mental health with your employer?,Have you ever had a coworker discuss their or another coworker's mental health with you?,Have you ever sought treatment for a mental health disorder from a mental health professional?,Have you had a mental health disorder in the past?,Have you observed or experienced a supportive or well handled response to a mental health issue in your current or previous workplace?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health issue made you less likely to reveal a mental health issue yourself in your current workplace?,Have your previous employers provided mental health benefits?,How many employees does your company or organization have?,How willing would you be to share with friends and family that you have a mental illness?,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?","If they knew you suffered from a mental health disorder, how do you think that your team members/co-workers would react?","If you have a mental health disorder, how often do you feel that it interferes with your work when NOT being treated effectively (i.e., when you are experiencing symptoms)?","If you have a mental health disorder, how often do you feel that it interferes with your work when being treated effectively?",Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,"Overall, how much importance did your previous employer place on mental health?","Overall, how much importance did your previous employer place on physical health?","Overall, how much importance does your employer place on mental health?","Overall, how much importance does your employer place on physical health?","Overall, how well do you think the tech industry supports employees with mental health issues?",Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Was your employer primarily a tech company/organization?,Were you aware of the options for mental health care provided by your previous employers?,What country do you live in?,What country do you work in?,What is your age?,What is your gender?,What is your race?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up your mental health with a potential employer in an interview?,Would you feel comfortable discussing a mental health issue with your coworkers?,Would you feel comfortable discussing a mental health issue with your direct supervisor(s)?,Would you feel more comfortable talking to your coworkers about your physical health or your mental health?,Would you have been willing to discuss your mental health with your coworkers at previous employers?,Would you have been willing to discuss your mental health with your direct supervisor(s)?,Would you have felt more comfortable talking to your previous employer about your physical health or your mental health?
132,1,0,0,0,1,0,1,1,1,1,1,0,0,2,0,0,1,0,1,1,2,2,3,3,0,10,3,1,2,3,2,1,1,2,5,5,8,1,0,0,0,52,54,33,0,3,0,0,0,1,1,1,1,1
133,1,0,0,1,0,1,2,1,1,1,1,0,1,1,1,1,0,1,1,1,0,3,0,2,3,10,4,7,2,3,2,1,1,3,6,8,8,1,2,1,3,52,54,44,1,3,1,0,1,0,2,0,2,1
134,1,0,0,0,0,0,2,1,0,1,1,1,1,1,1,0,0,0,1,1,3,1,0,2,3,6,2,8,4,3,2,1,1,2,2,6,8,2,0,0,0,52,54,34,0,3,2,2,2,1,2,1,2,1
135,1,0,0,0,0,0,1,0,2,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,3,3,1,5,1,1,2,1,1,0,7,4,6,4,0,1,1,52,54,35,1,3,0,0,0,0,1,1,1,1
136,1,0,0,1,1,1,2,1,1,2,1,1,2,1,0,0,1,1,1,1,0,0,2,2,1,5,5,5,2,4,2,1,1,10,10,7,7,3,0,1,0,52,54,32,2,2,1,0,1,1,2,0,2,1
137,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,2,3,0,0,3,10,1,6,1,1,2,1,1,2,3,2,3,2,0,1,2,52,54,31,1,3,1,2,2,1,1,1,1,1
138,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,3,1,8,2,4,4,4,1,1,1,5,7,6,6,2,3,1,4,52,54,30,1,3,1,0,2,1,1,0,2,1
139,1,0,0,0,0,0,1,1,1,1,1,0,1,2,0,0,0,1,1,1,0,2,3,2,3,5,3,1,4,3,2,1,1,1,6,3,8,2,0,1,0,52,54,26,0,3,2,0,2,0,1,1,1,1
142,1,0,0,0,0,0,1,0,0,1,1,0,2,2,2,0,0,0,0,2,1,0,3,1,3,0,4,1,1,1,2,1,1,3,5,3,8,1,0,1,1,52,54,26,1,3,2,0,0,2,1,0,2,1
143,1,0,0,0,0,0,3,1,3,1,1,0,2,2,0,0,0,0,1,3,1,1,0,3,1,7,2,6,3,3,2,1,1,8,8,6,6,3,0,0,0,52,54,30,1,3,0,0,0,1,2,3,3,2
145,1,0,0,1,0,0,1,0,2,0,1,2,2,0,0,0,0,0,0,0,0,0,3,0,0,10,2,5,1,1,1,1,1,9,9,8,9,4,0,1,1,45,46,29,1,3,1,2,2,1,1,0,2,1
146,1,0,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,2,1,0,9,1,8,1,1,2,1,1,2,6,0,3,2,0,1,1,45,46,27,1,3,2,0,1,1,1,0,2,0
147,1,0,0,0,0,0,1,0,2,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1,7,1,1,2,1,1,5,0,5,0,3,0,1,2,45,46,29,1,3,2,2,2,2,2,0,2,2
148,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,1,0,1,0,8,2,5,2,3,2,1,1,4,4,4,4,3,0,1,1,45,46,43,1,3,2,0,1,1,1,0,2,1
149,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,5,7,4,8,1,1,2,1,1,5,6,5,6,3,0,1,2,45,46,31,1,3,0,0,1,1,1,1,0,1
150,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,10,4,7,1,1,2,1,1,5,5,7,5,2,0,1,2,17,31,36,1,3,1,1,1,1,2,3,3,2
151,1,1,0,0,0,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,3,0,3,3,2,7,5,8,4,3,1,1,0,6,6,6,7,2,3,1,4,52,54,44,0,3,1,2,1,1,2,0,2,1
152,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,3,1,0,0,3,9,5,7,1,1,1,1,1,3,6,8,8,2,0,1,2,52,54,44,1,3,1,2,1,1,2,0,1,1
153,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,2,1,0,3,3,10,5,10,2,4,1,1,1,8,8,10,10,3,3,1,0,52,54,27,0,6,2,2,1,1,1,3,2,1
154,1,0,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,3,3,9,5,9,2,3,1,1,1,4,6,7,8,3,0,1,4,52,54,42,0,3,1,2,1,1,2,0,3,1
155,1,0,0,1,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,3,3,8,4,6,3,3,2,1,1,2,2,7,7,4,0,1,4,52,54,28,1,3,2,2,1,1,2,0,2,2
157,1,0,0,0,0,0,2,1,1,1,1,1,1,1,1,0,1,1,1,1,3,3,1,3,3,8,5,2,4,3,0,1,1,4,8,5,9,1,0,1,4,52,54,49,0,3,0,0,0,0,1,1,1,2
158,1,0,0,1,0,0,1,0,3,2,1,0,0,2,0,0,0,0,1,1,0,0,2,0,5,6,2,4,2,2,2,1,1,5,5,5,5,2,0,1,2,15,14,32,1,3,1,2,2,2,2,1,0,2
159,1,0,0,1,0,1,0,0,2,2,1,0,2,2,0,0,0,0,0,2,0,1,1,0,1,0,1,0,1,1,2,1,1,0,0,2,2,3,0,1,2,52,54,33,1,4,0,0,2,2,1,0,1,2
160,1,0,0,0,0,0,1,0,3,1,1,1,0,0,0,0,0,0,0,3,0,1,0,0,5,2,2,3,4,4,2,1,0,5,10,4,7,2,0,1,0,52,54,45,1,4,0,0,0,0,2,1,1,2
161,1,0,0,0,0,0,1,0,1,2,1,0,2,2,0,0,0,0,1,1,1,1,3,0,0,9,0,5,2,4,2,1,1,3,6,5,7,2,1,0,2,52,54,25,0,6,1,0,2,0,1,0,1,1
162,1,0,0,0,1,0,1,1,1,1,1,1,2,1,0,0,0,0,1,1,1,1,3,2,0,9,0,7,2,2,2,1,1,4,7,2,4,1,0,1,0,52,54,42,1,3,2,0,0,2,1,1,2,1
163,1,0,0,1,0,1,0,0,2,1,1,0,0,1,0,1,0,1,0,0,0,3,1,0,5,6,2,6,1,1,2,1,1,2,4,0,1,3,0,0,2,52,54,25,1,3,2,0,1,0,1,0,2,1
164,1,0,0,0,0,0,1,0,3,1,1,0,2,1,0,1,1,0,1,0,1,1,0,1,1,10,0,4,4,4,2,1,1,0,1,2,6,2,0,0,1,52,54,25,0,3,0,0,2,2,1,1,1,1
165,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,3,0,0,3,0,2,5,1,5,1,1,2,1,0,0,6,5,7,4,0,0,2,23,54,31,0,3,1,2,1,2,1,1,0,1
166,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,2,2,0,0,1,3,5,0,3,4,4,0,1,1,5,6,5,5,3,0,1,1,21,20,40,1,3,1,0,1,1,2,1,2,1
167,1,0,0,0,1,0,1,0,3,2,1,0,0,2,0,1,0,1,1,2,0,0,3,2,0,7,2,7,4,3,2,1,1,3,8,8,10,2,0,0,2,52,54,28,1,3,0,0,1,2,2,0,2,1
168,1,0,0,0,0,0,1,0,3,2,1,0,2,2,0,0,0,0,0,3,0,0,3,2,1,6,4,5,1,1,2,1,1,0,0,2,2,4,2,0,3,52,54,37,1,3,2,0,2,1,1,0,1,1
169,1,0,0,1,0,0,1,0,1,2,1,0,0,1,0,1,0,0,1,1,1,3,1,2,3,7,0,0,2,2,2,1,1,7,0,1,9,1,1,1,3,6,7,35,1,3,1,0,0,0,1,0,0,1
170,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,3,0,1,0,0,3,10,5,5,2,4,0,1,0,0,4,7,10,4,0,0,2,45,46,27,0,3,2,0,2,0,1,1,1,1
172,1,0,0,1,0,1,1,0,3,2,1,0,2,2,0,1,1,1,0,3,0,0,3,1,0,7,2,5,4,1,2,1,1,3,8,3,8,3,0,1,2,16,15,29,1,3,2,2,0,2,1,0,2,1
173,1,0,0,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,1,1,2,2,1,2,3,5,4,7,2,4,1,1,1,7,7,7,7,3,2,0,0,51,53,37,1,3,1,2,0,0,1,0,1,1
174,1,0,0,1,0,1,1,1,1,1,1,0,2,1,0,1,1,1,1,1,2,3,0,3,3,8,3,4,2,4,2,1,1,3,5,3,5,3,0,1,0,52,54,51,1,3,0,0,2,2,1,0,2,1
176,1,0,0,0,0,0,1,1,1,1,1,0,2,1,0,1,0,1,0,1,0,0,0,2,1,6,4,5,2,4,1,1,0,3,5,7,10,3,0,0,0,52,54,36,0,3,2,0,2,2,1,0,1,1
177,1,0,0,0,1,0,2,1,2,2,1,0,2,2,2,0,1,0,1,3,0,0,0,2,0,6,2,7,1,1,2,1,1,8,5,7,7,2,3,0,4,52,54,38,1,3,2,2,2,1,2,1,2,2
178,1,0,0,1,0,1,2,1,3,0,1,0,1,2,1,0,0,0,1,1,3,1,0,2,1,8,2,5,4,4,2,1,1,8,8,8,8,3,3,1,0,29,29,30,0,3,1,2,2,1,1,0,2,1
179,1,0,0,1,1,1,2,1,1,1,1,0,1,2,1,1,1,0,1,1,2,0,0,2,1,10,5,8,2,2,2,1,0,5,5,5,5,3,0,1,0,51,53,35,1,3,1,2,1,1,1,0,3,1
180,1,0,0,0,0,0,2,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,0,3,3,2,5,3,4,3,1,1,1,5,7,10,9,3,0,1,0,51,53,41,1,3,1,0,1,1,1,3,2,1
184,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,2,2,0,1,1,9,4,5,2,3,1,1,0,0,0,5,6,3,0,0,1,52,54,25,2,3,1,0,2,0,1,1,1,1
185,1,0,0,0,0,0,0,1,0,1,1,0,2,2,0,0,1,0,1,0,3,1,3,2,5,7,5,6,3,0,1,1,1,5,5,5,6,3,3,1,0,52,54,40,1,3,0,0,2,1,1,0,2,1
187,1,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,1,0,0,2,3,2,0,1,6,1,4,1,1,2,1,1,5,5,3,6,3,0,1,2,52,54,49,0,3,0,0,2,0,1,0,2,2
188,1,0,0,1,1,1,2,1,1,1,1,2,0,0,0,1,0,1,1,1,2,2,1,2,5,5,0,0,2,4,0,1,1,2,5,0,3,1,1,0,4,52,54,44,0,3,0,0,2,0,2,0,2,2
189,1,0,0,0,0,0,1,0,1,0,1,0,0,2,0,1,0,0,1,1,0,0,2,1,1,5,0,0,4,4,2,1,1,5,5,6,6,3,0,1,3,52,54,30,1,3,0,0,1,0,1,1,1,1
190,1,0,0,0,0,0,1,0,3,1,1,0,2,1,2,0,0,1,0,3,3,0,0,1,1,5,1,2,2,1,2,1,0,2,3,6,5,2,0,0,2,52,54,28,1,3,2,0,0,2,1,1,1,1
191,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,2,1,2,3,0,9,4,9,4,4,1,1,1,1,4,7,7,2,0,1,0,52,54,31,1,3,0,0,1,1,1,0,1,1
192,1,0,0,0,1,1,2,0,1,1,1,0,0,1,0,1,1,1,1,1,2,1,0,2,5,8,5,7,2,4,0,1,1,5,4,6,4,1,0,1,3,52,54,32,1,3,0,0,1,1,2,0,2,1
193,1,0,0,0,0,0,1,1,2,0,1,0,2,2,2,0,0,0,0,0,0,1,3,1,1,10,5,10,1,1,2,1,1,5,5,5,5,4,3,1,1,52,54,24,1,3,2,2,2,2,1,1,0,2
194,1,0,0,1,0,1,2,1,3,1,1,0,2,2,0,1,1,1,0,3,3,3,1,2,1,9,3,7,1,1,2,1,1,5,5,5,5,2,2,1,0,52,54,34,1,3,2,0,2,1,1,0,1,1
195,1,0,0,0,0,0,1,0,1,1,1,1,2,1,0,1,1,0,1,1,2,0,0,0,1,9,5,7,2,4,1,1,1,2,5,4,7,3,0,1,2,52,54,31,0,3,0,0,2,1,1,1,1,1
196,1,0,0,1,1,0,2,1,0,0,1,1,1,1,1,1,1,0,0,0,3,1,0,2,1,8,5,5,1,1,2,1,1,3,7,5,9,3,3,1,4,52,54,47,1,3,1,0,2,1,2,0,2,2
197,1,0,0,0,0,0,1,0,0,2,1,0,2,1,0,0,0,1,0,0,3,1,0,2,1,6,2,8,1,1,1,1,1,4,7,6,8,2,0,1,2,52,54,59,1,3,2,2,2,2,1,0,0,1
198,1,0,0,1,0,0,1,1,1,1,1,0,0,2,2,1,1,1,1,1,3,3,0,2,1,9,4,9,2,3,2,1,1,0,3,5,6,1,2,0,3,52,54,44,1,3,1,0,1,1,2,0,1,2
199,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,5,1,1,2,1,1,5,4,2,3,3,2,1,2,52,54,26,1,3,0,0,0,0,1,1,2,1
200,1,0,0,0,0,0,1,1,3,2,1,0,0,2,1,1,1,1,0,2,3,1,3,0,4,7,2,6,2,4,1,1,1,4,4,8,5,3,0,1,2,52,54,43,1,3,2,2,1,1,2,0,2,2
201,1,0,0,0,1,0,1,1,1,1,1,0,2,2,0,1,0,1,1,1,1,3,3,2,2,2,4,4,2,4,2,1,1,3,8,5,8,3,2,0,0,52,54,35,1,3,2,0,2,0,1,1,2,1
202,1,0,0,1,0,1,2,1,0,0,1,0,0,2,0,1,0,1,0,0,0,1,2,2,0,5,1,3,1,1,0,1,0,4,6,5,8,3,3,1,4,52,54,40,1,3,0,0,2,1,1,0,2,1
205,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,3,1,2,1,4,9,4,6,4,4,2,1,1,2,2,7,4,3,0,0,2,52,54,27,1,3,1,0,0,1,1,1,1,1
206,1,0,0,0,0,0,1,0,3,2,1,1,1,1,0,0,0,1,1,1,0,1,0,3,1,6,3,6,4,4,1,1,1,2,5,2,5,1,3,1,4,52,54,42,1,3,0,0,2,0,1,1,1,1
207,1,0,0,0,0,0,3,2,3,0,1,1,1,1,1,0,0,0,1,1,0,1,0,3,1,8,1,8,4,4,2,1,0,8,8,8,8,4,0,0,0,52,54,49,1,3,0,0,2,1,1,0,2,1
208,1,0,0,1,0,1,1,0,1,2,1,0,2,1,0,0,0,0,1,3,0,1,3,3,0,7,2,5,2,3,2,1,1,5,5,7,7,1,0,0,0,52,54,40,1,3,2,2,2,1,1,0,2,2
209,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,2,0,2,1,8,5,6,2,4,1,1,0,0,0,8,5,4,0,0,0,52,54,26,0,3,0,0,2,1,1,0,2,1
210,1,0,0,0,1,0,2,1,1,1,1,1,1,1,1,1,0,1,1,3,0,3,0,2,2,10,4,6,2,3,1,1,1,4,8,7,8,3,2,1,0,52,54,29,1,3,0,0,1,1,2,0,2,1
211,1,0,0,0,0,1,1,0,0,1,1,1,2,1,1,0,0,1,0,0,3,0,0,2,0,6,3,4,1,1,1,1,0,0,4,8,9,3,1,0,0,52,54,39,0,3,2,2,2,2,1,1,1,2
213,1,0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,0,1,0,0,0,0,1,0,0,2,2,3,1,1,2,1,1,7,7,8,9,3,0,1,2,52,54,50,1,4,2,0,0,2,1,0,2,1
215,1,0,0,0,0,1,1,1,3,2,1,1,1,1,0,1,0,0,1,1,0,3,0,2,1,5,2,3,1,1,2,1,1,4,3,5,8,2,2,0,0,29,29,24,1,3,1,0,0,2,1,0,2,2
216,1,0,0,1,0,0,1,1,1,1,1,1,2,1,1,1,0,1,1,1,3,2,0,2,0,6,4,5,4,3,2,1,1,4,6,6,8,3,2,0,0,52,54,35,0,3,2,0,0,0,1,0,2,1
217,1,0,0,0,0,0,1,0,0,2,1,0,0,2,0,0,0,0,0,3,3,1,0,0,0,7,5,7,1,1,1,1,1,5,8,10,10,4,0,0,2,52,54,36,1,3,0,0,0,1,1,0,2,1
218,1,0,0,1,0,1,1,0,0,2,1,0,2,1,2,1,0,1,0,0,1,3,1,1,0,5,1,4,2,4,0,1,0,1,5,5,10,3,2,0,2,52,54,50,0,3,2,0,2,1,1,0,2,1
219,1,0,0,0,0,0,3,1,0,0,1,0,2,2,0,0,0,0,0,0,1,1,3,2,0,5,1,7,1,1,2,1,1,7,7,5,6,2,3,0,0,52,54,47,0,3,2,0,1,2,1,0,1,1
220,1,0,0,1,1,0,1,0,1,1,1,0,1,1,2,1,0,1,1,1,0,0,3,2,1,6,4,4,2,4,2,1,1,5,5,7,8,2,3,1,0,52,54,30,1,3,0,0,2,2,1,0,2,2
221,1,0,0,1,0,1,1,0,1,1,1,0,0,2,0,1,0,1,1,1,1,1,0,2,0,7,2,5,2,4,2,1,1,5,7,5,6,3,0,1,0,52,54,38,1,3,0,0,1,2,2,3,2,2
222,1,0,0,1,0,1,2,1,1,1,1,1,2,1,2,1,0,1,1,1,0,0,2,2,1,6,2,5,2,4,2,1,1,2,2,5,5,3,0,1,0,52,54,38,1,3,2,2,2,1,2,0,2,2
223,1,0,0,1,1,0,3,2,0,0,1,1,1,1,2,1,0,0,0,0,3,1,3,3,3,5,2,7,1,1,1,1,1,6,9,8,8,3,3,1,0,52,54,26,0,3,0,0,2,1,1,3,3,1
224,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,2,1,3,3,7,0,1,2,2,0,1,1,0,3,0,3,1,0,1,4,52,54,45,0,3,0,0,0,0,1,1,1,1
225,1,0,0,0,0,0,2,1,3,0,1,1,1,1,1,0,0,1,0,2,2,1,2,2,2,7,4,5,1,1,1,1,1,3,3,5,5,1,2,1,3,52,54,37,0,0,0,0,0,2,1,1,1,1
226,1,0,0,1,0,1,1,0,1,1,1,0,2,2,0,1,0,1,1,1,1,1,2,1,1,8,1,4,2,4,1,1,0,10,10,9,9,4,3,0,4,52,54,24,0,3,0,0,2,0,1,3,2,1
227,1,0,0,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,0,2,1,8,4,8,2,4,1,1,1,2,5,9,9,3,2,1,0,52,54,33,0,3,0,0,2,1,1,0,2,1
228,1,0,0,1,0,1,1,1,0,1,1,1,1,1,2,0,1,1,0,0,0,3,2,2,1,6,1,2,1,1,2,1,1,3,8,5,7,4,0,0,0,52,54,35,0,3,0,0,2,1,1,0,2,1
229,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,2,1,0,2,1,9,2,8,1,1,1,1,1,5,5,8,6,3,0,1,0,52,54,44,1,3,1,1,1,1,2,3,3,1
230,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,3,0,0,1,3,5,3,1,1,2,1,0,5,7,5,5,2,0,1,2,52,54,33,1,3,2,0,2,0,1,1,1,1
231,1,0,0,0,0,0,1,0,0,0,1,0,0,2,2,0,0,0,0,0,0,1,0,1,1,2,5,4,1,1,1,1,0,2,5,7,7,3,0,1,1,52,54,28,0,3,0,0,2,2,1,1,1,1
233,1,0,0,0,0,0,1,0,0,0,1,0,2,1,0,1,0,1,1,1,3,1,0,0,1,7,5,8,1,1,2,1,1,6,8,8,10,4,1,1,2,47,49,31,1,3,1,1,1,1,1,3,3,1
234,1,1,0,0,0,0,1,0,1,2,1,2,0,0,0,1,1,0,0,1,2,0,3,0,5,9,5,5,2,4,2,1,1,0,4,6,6,2,0,1,2,23,22,33,1,3,0,0,1,1,2,1,2,1
235,1,0,0,0,1,0,1,0,1,0,1,2,0,0,0,1,1,1,1,1,2,2,0,1,1,10,5,8,4,4,1,1,1,2,8,5,7,3,1,1,1,51,53,37,1,3,1,1,1,1,2,1,2,1
236,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,1,3,0,0,5,3,4,10,1,1,2,1,1,2,5,3,9,4,0,0,2,48,50,27,1,3,1,2,0,2,1,1,1,2
237,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,1,1,0,0,2,0,0,0,5,4,2,7,1,1,0,1,1,8,8,7,7,3,0,1,2,31,31,31,1,3,0,0,1,1,1,1,3,1
238,1,0,0,0,0,0,1,0,3,2,1,0,0,0,0,1,1,1,1,3,1,0,1,1,3,9,3,4,1,1,2,1,1,3,10,6,9,4,0,1,1,51,53,40,1,3,2,0,2,2,1,0,1,1
239,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,3,10,5,5,2,3,2,1,1,6,8,6,8,3,0,1,1,45,46,32,1,3,2,2,1,1,2,0,2,2
240,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,2,0,2,3,1,9,5,10,2,4,1,1,1,6,9,8,8,5,3,1,0,52,54,33,1,3,0,2,1,1,0,1,1,2
241,1,0,0,0,0,0,1,0,3,2,1,0,0,2,0,1,0,1,1,1,2,1,1,1,5,7,3,4,4,4,2,1,0,0,0,5,0,3,0,0,2,52,54,21,1,3,0,0,1,1,1,1,1,1
243,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,3,1,3,0,5,7,4,7,2,4,2,1,1,5,5,7,7,3,0,0,2,1,1,44,0,3,1,0,2,1,1,1,2,1
244,1,0,0,0,0,1,1,0,0,2,1,0,0,2,0,0,0,1,0,0,0,1,0,2,5,5,1,5,1,1,2,1,1,5,5,3,5,3,0,1,0,52,54,38,0,3,0,0,2,2,1,1,2,1
245,1,0,0,0,1,1,1,0,3,1,1,0,0,1,0,1,0,0,1,3,1,1,2,0,1,9,4,8,4,4,2,1,1,6,7,8,9,3,0,1,2,52,54,27,0,3,1,2,1,1,2,0,2,1
247,1,0,0,0,1,0,2,1,3,0,1,0,1,1,1,0,1,0,1,1,3,0,0,2,3,3,2,5,2,3,2,1,1,3,6,5,6,3,0,1,0,52,54,36,1,3,2,0,2,2,1,1,2,1
248,1,0,0,0,0,0,1,0,0,1,1,2,0,3,1,0,1,0,0,3,2,0,0,0,4,9,4,8,3,3,1,1,1,7,7,7,7,3,3,1,2,51,53,30,1,3,2,2,1,1,1,0,2,1
249,1,0,0,0,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,3,5,5,4,4,1,2,1,1,3,5,4,5,3,0,0,1,51,53,35,1,3,0,0,1,1,1,1,1,1
250,1,1,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,5,5,4,3,2,1,1,2,7,2,9,2,0,0,3,0,0,30,1,3,2,0,1,2,0,1,1,1
251,1,0,0,0,0,0,2,0,2,1,1,2,0,0,0,1,0,1,0,0,3,0,0,1,0,5,2,7,1,1,2,1,1,5,7,5,5,3,0,1,1,32,32,32,1,3,2,0,1,2,1,0,2,1
252,1,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0,0,1,0,0,3,1,0,0,2,7,5,9,1,1,2,1,1,5,9,8,8,3,0,1,2,1,1,33,1,3,1,2,1,1,2,0,0,2
253,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,3,0,0,1,5,7,5,7,1,1,2,1,1,0,3,5,5,2,3,0,1,32,32,48,1,3,2,2,2,1,1,1,1,1
254,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,2,0,7,4,8,1,1,2,1,1,6,8,6,8,2,0,1,0,31,31,32,1,3,0,2,0,0,1,1,2,1
255,1,0,0,0,0,0,1,0,1,1,1,0,0,2,0,1,0,0,1,1,1,3,3,0,1,5,4,7,2,3,2,1,1,4,7,4,5,1,0,1,2,51,53,45,1,3,2,0,2,0,1,1,1,1
256,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,1,1,3,0,2,5,1,8,1,1,2,1,1,3,5,3,5,2,0,1,2,39,40,31,1,3,0,2,2,0,1,0,2,1
259,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,1,1,2,1,1,7,7,7,7,1,0,1,1,37,38,29,1,3,0,0,0,0,2,1,1,2
260,1,0,0,0,0,0,1,0,3,2,1,1,1,1,1,0,1,0,1,1,3,2,2,2,1,6,4,7,4,3,1,1,0,2,2,9,6,3,3,0,0,52,54,51,0,3,0,0,2,1,1,0,2,1
261,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,3,3,2,1,3,0,3,1,8,1,1,2,1,1,3,5,8,6,3,0,1,0,52,54,33,0,3,0,0,1,1,1,1,1,1
262,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,2,2,1,2,1,9,2,9,2,4,1,1,1,4,4,7,7,4,0,0,2,52,54,27,1,3,0,0,1,2,1,0,2,1
263,1,0,0,0,0,1,1,1,0,2,1,0,2,1,0,0,0,1,0,0,1,2,2,0,5,0,3,3,1,1,2,1,1,2,3,3,3,2,2,1,2,52,54,42,1,3,2,0,0,0,1,1,1,1
264,1,0,0,0,0,1,1,0,0,0,1,2,0,3,1,1,1,1,0,0,3,3,0,0,5,5,2,3,1,1,1,1,0,2,4,7,7,2,0,1,2,1,1,47,1,3,1,2,2,1,1,0,1,1
265,1,0,0,0,1,0,1,0,1,2,1,2,2,3,1,1,1,1,1,3,3,1,0,1,0,5,5,6,4,0,2,1,1,7,7,7,7,3,0,1,1,31,31,31,0,3,2,0,1,1,1,0,2,1
